CMPLNT_FR_DT,Latitude,Longitude,BORO_NM
2019,40.68963939400004,-73.92740400599996,BROOKLYN
2019,40.84962083000005,-73.92982466999997,MANHATTAN
2019,40.80958413800005,-73.91805074799998,BRONX
2019,40.57610718400008,-73.98954772599996,BROOKLYN
2019,40.82612303500007,-73.938904354,MANHATTAN
2019,40.824130774000025,-73.86987271699996,BRONX
2019,40.86925077800004,-73.82961469499998,BRONX
2019,40.76140800600007,-73.87221888199997,QUEENS
2019,40.86859421900005,-73.89017769199995,BRONX
2019,40.71664102500005,-73.93923196999998,BROOKLYN
2019,40.69086637500004,-73.98584805699994,BROOKLYN
2019,40.675411501000035,-73.87191497999999,BROOKLYN
2019,40.74285848300008,-74.00212340699994,MANHATTAN
2019,40.81608887400005,-73.917688689,BRONX
2019,40.63835682300004,-74.11519325899997,STATEN ISLAND
