CMPLNT_FR_DT,Latitude,Longitude,PATROL_BORO
2019,40.59968295300007,-73.93884146999993,PATROL BORO BKLYN SOUTH
2019,40.766583171000036,-73.78317030199997,PATROL BORO QUEENS NORTH
2019,40.670168236000045,-73.91572748899993,PATROL BORO BKLYN NORTH
2019,40.59215358800003,-74.07968695199997,PATROL BORO STATEN ISLAND
2019,40.751099030000034,-73.86064222299996,PATROL BORO QUEENS NORTH
2019,40.76015718700007,-73.76742395499997,PATROL BORO QUEENS NORTH
2019,40.62677222600007,-73.93545191699997,PATROL BORO BKLYN SOUTH
2019,40.62410194000006,-73.91876119499993,PATROL BORO BKLYN SOUTH
2019,40.693043457000044,-73.92827657699996,PATROL BORO BKLYN NORTH
2019,40.80611163000003,-73.91369870499993,PATROL BORO BRONX
2019,40.81944151700003,-73.88971325499993,PATROL BORO BRONX
2019,40.753986972000064,-73.89171654499995,PATROL BORO QUEENS NORTH
2019,40.82100441500006,-73.89092463699996,PATROL BORO BRONX
2019,40.81461223200006,-73.91395501999993,PATROL BORO BRONX
2019,40.76293492700007,-73.91467877399998,PATROL BORO QUEENS NORTH
2019,40.87367103500002,-73.90801364899994,PATROL BORO BRONX
2019,40.74074490700008,-73.99437915799997,PATROL BORO MAN SOUTH
2019,40.536838785000036,-74.24027425599996,PATROL BORO STATEN ISLAND
2019,40.78874407400008,-73.97053356999999,PATROL BORO MAN NORTH
2019,40.61549347300007,-74.10279932099996,PATROL BORO STATEN ISLAND
2019,40.63712598600006,-74.01683491299997,PATROL BORO BKLYN SOUTH
2019,40.70756983200005,-73.96672092799997,PATROL BORO BKLYN NORTH
2019,40.75385078100004,-73.91598978199994,PATROL BORO QUEENS NORTH
2019,40.691011529000036,-73.98345727099996,PATROL BORO BKLYN NORTH
2019,40.74970646600008,-73.99342558899998,PATROL BORO MAN SOUTH
2019,40.79406430400008,-73.81339982599997,PATROL BORO QUEENS NORTH
2019,40.74027533700007,-73.84886461599997,PATROL BORO QUEENS NORTH
2019,40.70735809400002,-73.96539010399994,PATROL BORO BKLYN NORTH
2019,40.75686097700003,-73.87565666399996,PATROL BORO QUEENS NORTH
2019,40.724990181000074,-73.79422648599996,PATROL BORO QUEENS SOUTH
2019,40.65935704200007,-73.92027169699998,PATROL BORO BKLYN SOUTH
2019,40.839693926000045,-73.91838228899996,PATROL BORO BRONX
